Single_ent,en_masked,en_masked_shuffled,en_masked_results,en_masked_shuffled_results
['alex'],“You drive [MASK] crazy because he can’t ever beat you even though he’s the older brother. He’s probably jealous because you’re tall and hot and smart and he’s short and—”,he’s brother. the though smart older he’s “You and—” short jealous and even tall probably hot crazy can’t [MASK] you’re you He’s ever beat he and because drive because and,"<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","The given passage appears highly nonsensical and incomplete, so it's challenging to determine an exact match for a book and author. However, based on its fragmented style, it may resemble experimental or avant-garde literature, though this remains purely a guess.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
['anna'],"[MASK] pulls her hand from the water and sends it absently down her stomach, leaving a trail of water that quickly pulls into droplets and evaporates in the heat. “Is it weird that we lived together for two years and you don’t remember this?”","into water that stomach, water weird from it her remember you down of and hand pulls it trail droplets [MASK] a together “Is don’t lived that we sends and two heat. years evaporates pulls and her leaving the quickly in the absently for this?”","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be fragmented and distorted, making it difficult to identify with certainty. However, based on syntactic clues and popular literary themes, my best guess is this could reference a book with surreal or poetic prose.

<output>""title"": ""The Water Knife"",""author"": ""Paolo Bacigalupi""</output>"
['anna'],"Gingerly, [MASK] lifts the ice, gasping at the small wound there. She sets the ice back down, flushed, and nods decisively. “You’ll live.”","decisively. the nods the ice, at and Gingerly, ice [MASK] “You’ll down, gasping the back live.” flushed, She lifts small sets there. wound","<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['anna'],"[MASK] scowls at him, and with the circle of people watching, crouches down, setting two fingers on his leg. She immediately jerks her arm back. “Wow, it’s hot.”","[MASK] immediately and of back. at people watching, on two down, circle setting it’s his fingers hot.” the scowls him, with crouches arm “Wow, jerks leg. her She","<output>""title"": ""Divergent"", ""author"": ""Veronica Roth""</output>","The passage provided is heavily jumbled and lacks coherence, making it challenging to clearly identify its source. Based on the limited information and the style, I will make an educated guess.

<output>""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger""</output>"
['anna'],"[MASK] laughs. “Well, technically the twelfth, but the fifth was when he wrote me a song and got on his knees to sing it to me, so that’s the night I see as our actual marriage.” She looks up at me, eyes soft. “He cried.”","me, [MASK] twelfth, looks marriage.” up the to but as “Well, me a his at She so wrote knees technically night it eyes was me, the the fifth when song cried.” sing to I that’s and soft. on he got actual laughs. see our “He","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The provided passage is highly fragmented and appears to be distorted or incomplete. It is difficult to determine the exact origin of the passage with certainty. However, based on the fragmented tone and structure, a possible guess might align with contemporary fiction or experimental literature.

<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>"
['mel'],"I’m out of town but will make sure my roommate is there to meet the courier. This is so exciting! The price sounds perfect. Thank you, [MASK]!","will sure there out to you, town so perfect. courier. Thank is exciting! is but The roommate I’m price my This of the [MASK]! make sounds meet","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","The passage provided has scrambled words and might be intentionally altered or nonsensical. Based on this, it is extremely difficult to attribute it to any particular book or author. However, following the task instructions, I'll make a guess.

<output>""title"": ""If on a Winter's Night a Traveler"",""author"": ""Italo Calvino""</output>"
['janet'],"But because this is a Weston Party™, it doesn’t end there. Clustered down the center of each table are vases bursting with white orchids and sprays of spiky green palms. The plates are bone china, and they look old, rich old, vintage, with about seventeen matching smaller plates and crystal champagne flutes at each place setting. I wonder idly if [MASK] had these brought over from her own collection, and then I realize she’d be more likely to just buy an entirely new set of priceless china.","champagne Weston Clustered realize rich there. entirely center each her they flutes had at new and look bone seventeen because and to about are collection, this be it vases and setting. plates white idly wonder priceless But down set then likely The vintage, are green plates own table I a sprays brought is Party™, she’d over of I if china. end just each of smaller palms. [MASK] bursting and these place from spiky with china, buy the with an more matching old, orchids doesn’t crystal old, of","<output>""title"": ""People We Meet on Vacation"",""author"": ""Emily Henry""</output>","<output>""title"": ""The Great Gatsby"",""author"": ""F. Scott Fitzgerald""</output>"
['ray'],"“So how’s it going with your dad?” I say, standing and stretching. West was pretty shaken up after [MASK] blindsided him in front of the Forbes editor. I can’t imagine what it’s like wanting to avoid your own father.","how’s I West like of own blindsided pretty to imagine it’s Forbes “So it the editor. what dad?” father. shaken wanting up say, standing him with was after [MASK] I stretching. avoid your in front and can’t going your","<output>""title"": ""One of Us Is Next"",""author"": ""Karen M. McManus""</output>","It appears the passage contains scrambled or nonsensical text, making it challenging to identify the book or author with certainty. However, based on the style and context, here's my best guess:

<output>""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger""</output>"
['alex'],“What I don’t understand is why he has such a boner for you being CEO when you clearly don’t want the job. Let him give it to [MASK]. He clearly wants it.”,the He Let why it being a “What I wants clearly has boner you want to clearly CEO him when he understand you it.” don’t job. don’t is [MASK]. for give such,"<output>""title"": ""The Hating Game"",""author"": ""Sally Thorne""</output>","The passage provided appears to be nonsensical, fragmented, or corrupted, making it difficult to ascertain its origin or contextual meaning. It does not clearly resemble a recognizable literary excerpt from a known book. Nonetheless, I will attempt a guess.

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
['anna green'],"“I’m not saying, but maybe I’m sort of saying, that there is one person in this bungalow who could absolutely use a massage and his name isn’t [MASK].”","person could isn’t there maybe [MASK].” this bungalow his absolutely saying, name in not I’m massage that saying, is one but a “I’m use and sort of who","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The passage provided appears to be heavily distorted or incomplete, making it challenging to accurately determine its origin. However, based on the wording style and fragmented structure, I will make a guess:

<output>""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger""</output>"
['janet'],"[MASK] unfolds herself from her chair, floating like a vampire across to me, where she delivers a kiss to the air on either side of my face. “Hello, darling. Nice of you to come.”","to air across of of “Hello, vampire like side chair, [MASK] from either delivers you kiss darling. on come.” herself to to the floating me, face. a a my she where Nice unfolds her","<output>""title"": ""The Guest List"",""author"": ""Lucy Foley""</output>","It seems the provided passage contains corrupted or nonsensical text, which makes it difficult to determine its origin. However, based on the mention of themes like vampires and the inclusion of phrases like ""darling"" and ""kiss,"" I will make a guess associated with vampire literature.

<output>""title"": ""Dracula"",""author"": ""Bram Stoker""</output>"
['reagan'],"[MASK] laughs down at her sand drawing. “Five more days,” she says. “I’m having fun but I miss my dog and my friends.”","having “Five but I days,” and my dog friends.” at her says. more my laughs down she fun miss drawing. sand [MASK] “I’m","<output>""title"": ""The Marvelous Mirza Girls"",""author"": ""Sheba Karim""</output>","The provided passage is too fragmented and lacks meaningful context, making it quite difficult to identify the exact source with certainty. However, based on the style and structure, it might resemble a children's book or a creatively written text with playful language.

<output>""title"": ""Unknown Book"",""author"": ""Unknown Author""</output>"
['reagan'],"He blinks away, aiming a wry laugh down at the sand before he looks back up again. “Shots fired, okay.” He looks over at [MASK]. “Then would my niece like to dance with me?”","the aiming okay.” away, down looks He looks me?” blinks before at again. “Shots “Then like sand niece would wry back he a dance fired, to up laugh with my over [MASK]. at He","<output>""title"": ""Beach Read"",""author"": ""Emily Henry""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
['ray'],"“Should we go?” she asks, setting her hand over mine on her chest. “This feels like the start of something we don’t want [MASK] to see.”","her see.” don’t feels she we her “This on [MASK] mine “Should asks, like setting we hand to of want start chest. over something go?” the","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","The passage provided is too fragmented and nonsensical due to the inclusion of ""[MASK]"" and disjointed text, making it difficult to reliably identify its source. However, I'll make a guess based on the style of presentation.

<output>""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood""</output>"
['grandpa'],"“I was only fifteen when [MASK] died. We were all at the reading of the will, but you can imagine in a situation like that, especially for kids, a lot of the details sort of go over your head. The reading took hours. I understood, basically, that he was leaving us each a very large sum of money. I understood that it was contingent on us being married. At the time, it didn’t seem so weird that he would want that. Kids sort of take those adult directives as law.”","want leaving very take large the sort reading it situation Kids of The those it contingent so would “I over the didn’t will, all like fifteen as [MASK] especially head. We imagine married. kids, when for seem at he of each go lot was reading I that. that sum sort weird At being details us a were he took was understood, the of us law.” can a adult but a that only of directives hours. you your died. of money. basically, that, that the on understood time, I in was","<output>""title"": ""The Inheritance Games"",""author"": ""Jennifer Lynn Barnes""</output>","The passage provided seems disjointed or jumbled, making it challenging to identify with certainty. However, I'll make a guess based on the tone and context clues from the text.

<output>""title"": ""Conversations with Friends"",""author"": ""Sally Rooney""</output>"
['mel'],"“Really.” I turn my face to the sun and feel its warmth spread through me. Residual panic drains away and I feel only contentment. I have money from West, I have the start of a potential—maybe, let’s hope—career as an artist. I might be falling in… I cut the thought off. “[MASK] just called me. Tell Dad I can cover it, absolutely no problem.”","be falling through of Dad and have I to only away face its “[MASK] contentment. West, me. the might me. the it, problem.” I potential—maybe, cut “Really.” called let’s spread money Residual a panic warmth absolutely start thought hope—career I turn artist. my cover an drains sun the can feel I as just Tell off. have I I in… I and feel from no","<output>""title"": ""Maybe in Another Life"",""author"": ""Taylor Jenkins Reid""</output>","<output>""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace""</output>"
['ray'],"The sound of a fork dropping onto porcelain breaks through my trance, and I blink over to where [MASK] is now impatiently wiping his mouth on a napkin. “They just canceled now?”","and onto trance, wiping to my dropping fork The I just on a impatiently is “They through a of napkin. breaks [MASK] where porcelain over now sound canceled mouth his blink now?”","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","It seems that the passage provided is highly fragmented and lacks coherent context. It's challenging to identify its origin with certainty. However, based on the abstract and disjointed style, I will make an educated guess.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
