Single_ent,en,en_results,en_shuffled,en_shuffled_results
['graham'],"When [MASK] got online, as he did not call it, and learned to peck at the keyboard with the elegance and speed of a badly burned amphibian, I imagined what might turn up on my reports from the Ministry’s search history database—“bosoms,” “tight lacing,” “stockings”—and spasmed with embarrassment. I was sick on the anticipation that I’d learn he was sexually cracked in some way, or worse, only interested in blond debutantes. One of his first searches was charmingly housewifely: “Most challenging recipes”; “How to make cheese soufflé”; “What is miso paste?”; “Where to buy miso paste”; “How long has Japan been open to Europe?” A day or so after I’d read this report, I received another that listed the following search terms:","""title"": ""The Circle"", ""author"": ""Dave Eggers""","way, miso first the lacing,” after and debutantes. got anticipation received I terms: “tight and searches read call his A “Where blond buy search database—“bosoms,” as a on not challenging history been report, to soufflé”; day paste”; up the “How badly cracked or it, “stockings”—and he he the “Most paste?”; or When was the of that embarrassment. following Japan only did learn worse, sexually I speed some “What I to spasmed my charmingly housewifely: [MASK] on imagined of has so cheese burned to is online, might I’d sick that recipes”; reports what I’d search was with make keyboard listed from Europe?” learned interested in in turn “How miso amphibian, was peck open One the another Ministry’s long at to this with elegance","""title"": ""The Areas of My Expertise"", ""author"": ""John Brockman"""
['arthur'],"Our street was in the early stages of overflow when I reached it. A lively river floor, applauding with raindrops, had replaced the road. I could make out the nauseous glimmer of high-vis jackets. There was shouting, some of it cheerful. The council had already delivered the sandbags—sent by trucks with wheels so big they looked like a rude joke—and people were fixing up domestic barricades. Blitz spirit, the newspapers called this sort of thing, as if either climate catastrophe or the Blitz was a national holiday. This stoic jollity was how we’d introduced the Second World War to the expats, by the way—[MASK] had been so distressed to learn we’d gone in for global seconds that it seemed like the kindest option. We emphasized the scrappy heroism of Dunkirk, the selflessness of evacuee hosts, and, of course, the Blitz spirit. Still, we had not told them about the death camps.","""title"": ""The End of Eddy"", ""author"": ""Édouard Louis""","of so scrappy I told glimmer had in joke—and the out early camps. up the could were with if distressed holiday. death of the spirit. street of lively We to had a This the council been heroism it. I fixing this had big to climate floor, was barricades. expats, domestic rude cheerful. The evacuee of jollity Blitz already it trucks There seconds national them as about we’d Blitz high-vis they nauseous by reached A that had Dunkirk, gone replaced stages introduced make it raindrops, the and, we’d with Second people Blitz selflessness the was overflow or so the the War when a Still, river hosts, emphasized of road. we the applauding like newspapers way—[MASK] some stoic for catastrophe jackets. not sandbags—sent wheels Our the the learn global how sort like option. either World by called spirit, looked in seemed the course, was the was of of thing, delivered kindest the shouting,","""title"": ""The War of the Worlds"", ""author"": ""H.G. Wells"""
['adela'],"“It’s better that we continue to work closely with Eighteen-forty-seven,” [MASK] had said, “given that he seems likely to survive the year.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","continue that said, seems year.” better survive to “given Eighteen-forty-seven,” closely we work with he had that [MASK] the “It’s likely to","""title"": ""1984"", ""author"": ""George Orwell"""
['adela'],"[MASK]’s voice contracted on that last sentence. She wiped her gaze, concentrated in her one working eye, up and down my face, to see if I’d noticed, and continued, “Our first priority is protecting the expats and the time-door. The time-door has been moved to a secure location. I suggest you retake the physical aptitude assessment, and then we can work on your lateral-reasoning scores—”","""title"": ""The Long Way to a Small, Angry Planet"", ""author"": ""Becky Chambers""","your the and you we physical sentence. suggest has is lateral-reasoning noticed, and protecting voice time-door her been “Our to moved and up and contracted retake last that concentrated then location. the in assessment, She see her secure the I The priority first if scores—” face, working aptitude gaze, my down wiped to on on continued, expats eye, I’d work time-door. can one a [MASK]’s","""title"": ""1984"", ""author"": ""George Orwell"""
['arthur'],"[MASK] was gentle, no matter how grotty my behavior. He had found out about Scrabble, and he sometimes brought his travel set along—my inner competitive bitch could stave off a black mood for half an hour or so.","""title"": ""The Liars' Club"", ""author"": ""Mary Karr""","for so. travel or along—my he out inner matter gentle, a bitch my mood He stave how and found half could hour about competitive Scrabble, grotty was sometimes black behavior. off an [MASK] no his had brought set","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['adela'],"My email made a chiding noise. [MASK] was the originator, and she’d put me in blind copy. It was a short email. [MASK] had a real gift for cramming apoplexy into a couple of lines.","""title"": ""The Circle"", ""author"": ""Dave Eggers""","apoplexy and lines. cramming for My of originator, It the me in real into was email couple noise. put a email. had a a she’d short copy. [MASK] was [MASK] gift made chiding a blind","""title"": ""Unknown"", ""author"": ""Unknown"""
['adela'],"The email told us that her death would be reported to the expats as a suicide. “This cannot be emphasized enough,” [MASK] had written, with a double underline.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""","expats had death with cannot be [MASK] enough,” The would underline. as that “This emphasized suicide. reported a us a double the told her be written, to email","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
['arthur'],"[MASK] smiled and sat down beside me, stretching out his long legs. Twisting the signet ring on his finger—a tell as clarion as my skin biting—he murmured, “We didn’t know her as well as we would have liked. I wish we had.”","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""","murmured, as we we on liked. had.” his legs. stretching down have [MASK] her beside me, skin tell Twisting well out as sat biting—he finger—a long didn’t and as smiled I wish the his ring “We clarion would as signet my know","""title"": ""Ulysses"", ""author"": ""James Joyce"""
['anne spencer'],"[MASK] almost made it off those wards. After I read the email, an ancient and exuberant terror blazed through me. It was partly the terror that had grown in me alongside my very bones, knowing as I did that I only existed because my mother had outrun almost; I don’t know at what point you stop feeling the need to run, generation by generation, when you’re born after that.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""","It mother grown partly the my feeling that. point ancient made exuberant email, what terror knowing had generation outrun bones, me. the was that I need when After did terror and know only [MASK] my through it that an to in I almost blazed born stop run, very as don’t those read alongside I the at I had generation, wards. you off by me existed you’re because almost; after","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
['rogue male'],"He was sitting at the noisome kitchen table, staring at nothing. [MASK] was lying splayed and face down by the ashtray. The thing in my chest kicked again as I realized he must have grabbed it as we left our home. When I came in, he didn’t move anything but his gaze, which swung up like a whip.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","ashtray. thing kitchen was came table, The noisome splayed like but it we as the in He lying have he the nothing. home. I he kicked staring must our and whip. gaze, in, move up face grabbed as I was anything down [MASK] by a chest left again his realized at my sitting didn’t which swung at When","""title"": ""Ulysses"", ""author"": ""James Joyce"""
